,Image,Object,Name,Class,Parent,ROI,Centroid X ?m,Centroid Y ?m,Tisue_Area,Num Detections,Num Negatie,Num Positive,Positive %,Num Positive per mm^2,Area ?m^2,Perimeter ?m
1,Td12_7D_MCAO_Str.tif,b37e2e83-6c20-408b-b19d-8cdbc39fad25,Positive,Positive,Image,Geometry,1822.9,3573.2,14244220,1074,369,705,65.64,49.49,14244220.3,26382.9
2,Td12_7D_MCAO_Str.tif,1bc21e8b-7681-46bf-8859-1f98ae585699,Ignore*,Ignore*,Image,Geometry,1171.5,3947.8,0,3,2,1,33.33,0.1099,9097659.9,37889
3,Td14_7D_MCAO_Str.tif,bb79152f-5db9-4a7b-b75f-1d76a0a05780,Ignore*,Ignore*,Image,Geometry,1228.5,3153.1,0,3,2,1,33.33,0.1046,9560310,35680.8
4,Td14_7D_MCAO_Str.tif,c9797d05-c9e8-4954-9d2c-8d31a9afa31a,Positive,Positive,Image,Geometry,1966.8,4068.1,15510598,2812,1046,1766,62.8,113.86,15510598.4,22082.6
5,Td16_7D_MCAO_Str.tif,37e3f1f7-c0ab-48ca-9753-735c872c2504,Positive,Positive,Image,Geometry,2043.5,3092.9,13224364,2732,598,2134,78.11,161.37,13224363.9,19990.5
6,Td16_7D_MCAO_Str.tif,5dffd2da-bd2c-4195-9573-66513449c5c2,Ignore*,Ignore*,Image,Geometry,841.67,3139.3,0,9,3,6,66.67,0.8558,7010668.9,28591.1
7,Td18_7D_MCAO_Str.tif,b9b2e439-7994-4ce5-9990-44d76095892e,Positive,Positive,Image,Geometry,2094.1,3024.2,13714030,1807,522,1285,71.11,93.7,13714030,22082.6
8,Td18_7D_MCAO_Str.tif,2f21b10a-4b45-4bd7-a9b8-8e6aad00500f,Ignore*,Ignore*,Image,Geometry,911.11,3269.5,0,9,3,6,66.67,0.8283,7243682.5,32775.2
9,Td20_14D_MCAO_Str.tif,aff17f68-ac55-41e8-9972-1e7cce4fd053,Positive,Positive,Image,Geometry,2506.6,2896.2,8884908,3346,410,2936,87.75,330.45,8884908.4,17782.3
10,Td20_14D_MCAO_Str.tif,2f64c317-ead6-4a18-bfc5-f3329ee43287,Ignore*,Ignore*,Image,Geometry,1080.8,3265.6,0,5,2,3,60,0.2485,12072804.1,26731.5
11,Td21_14D_MCAO_Str.tif,813814e7-7a6b-482b-8feb-5419c20b89fa,Ignore*,Ignore*,Image,Geometry,1055.4,3102.2,0,2,1,1,50,0.0881,11356878.4,24755.7
12,Td21_14D_MCAO_Str.tif,61415544-9a5d-4b7d-84f8-8b7fe0a7735c,Positive,Positive,Image,Geometry,2394.6,3117.3,9239494,2543,597,1946,76.52,210.62,9239494.3,19060.7
13,Td22_14D_MCAO_Str.tif,af685456-cd5f-4a60-9788-030ef6bb3e8f,Positive,Positive,Image,Geometry,2208.7,2948,10813180,2289,503,1786,78.03,165.17,10813180.1,16852.5
14,Td22_14D_MCAO_Str.tif,98cd4230-4b53-4997-adec-1d6ab7d076d9,Ignore*,Ignore*,Image,Geometry,959.68,3293.8,0,4,0,4,100,0.4245,9421852.7,24639.5
15,Td23_7D_MCAO_Str.tif,7a6463b6-dab7-4048-9080-679502fd6dc1,Positive,Positive,Image,Geometry,2070.3,2910.5,12528700,2229,837,1392,62.45,111.1,12528700.2,22082.6
16,Td23_7D_MCAO_Str.tif,f7d8212e-13ef-40e7-a89c-7f8c2540bdb6,Ignore*,Ignore*,Image,Geometry,906.65,3431.7,0,3,2,1,33.33,0.1298,7706332.6,29637.1
17,Td25_14D_MCAO_Str.tif,5ec7d18c-7488-4ddc-82b7-2a431510b163,Positive,Positive,Image,Polygon,2522.6,3010.2,8770090,3892,392,3500,89.93,399.08,8770090.1,18014.7
18,Td25_14D_MCAO_Str.tif,815215ce-f675-43c7-a894-d6614c778e8b,Ignore*,Ignore*,Image,Geometry,1082.7,3180.1,0,1,0,1,100,0.0821,12187622.4,27545.1
19,Td26_14D_MCAO_Str.tif,d54764c7-eafd-45dd-919b-ceaf5c9abc6f,Positive,Positive,Image,Geometry,2379.2,3029.8,8780221,3911,248,3663,93.66,417.19,8780221.2,23593.5
20,Td26_14D_MCAO_Str.tif,d5de2900-7744-4460-89a7-b4808dedbabb,Ignore*,Ignore*,Image,Geometry,1184.9,3166.1,0,2,1,1,50,0.0821,12177491.3,32194.1
21,Td27_14D_MCAO_Str.tif,6dfb1f6d-0e5d-4fc4-a944-41d782584b83,Positive,Positive,Image,Geometry,2322,3054.2,11312977,4296,461,3835,89.27,338.99,11312977.3,21152.8
22,Td27_14D_MCAO_Str.tif,df1a7426-904b-4499-9965-7a9d43ffe460,Ignore*,Ignore*,Image,Geometry,938.38,3173.3,0,6,1,5,83.33,0.5184,9644735.2,29637.1
23,Td28_14D_MCAO_Str.tif,de10bc4e-f3a7-460f-9b7f-bc035d7ab4d8,Positive,Positive,Image,Polygon,2489.8,2796.8,8905170,3831,423,3408,88.96,382.7,8905170.5,16271.4
24,Td28_14D_MCAO_Str.tif,e0e06406-93bc-4d6b-9dcb-40f2cef3cec6,Ignore*,Ignore*,Image,Geometry,1090.8,3339.6,0,3,0,3,100,0.2489,12052542,25918
25,Td33_30D_MCAO_Str.tif,5266161f-4027-40f5-bf17-ac15ce68b716,Positive,Positive,Image,Geometry,2422.9,2972.4,10060107,2893,486,2407,83.2,239.26,10060107.2,18712.1
26,Td33_30D_MCAO_Str.tif,1acc53c5-62ee-4c94-bb96-6e90a48f45e6,Ignore*,Ignore*,Image,Geometry,1004.3,3235.1,0,6,4,2,33.33,0.1835,10897605.3,27893.8
27,Td36_30D_MCAO_Str.tif,c3a91974-1be7-4321-969d-316a0f21e680,Positive,Positive,Image,Polygon,985.98,2829.6,5865863,2090,246,1844,88.23,314.36,5865863.1,13133.3
28,Td36_30D_MCAO_Str.tif,afff6680-a770-4779-b0ff-c6fc852a56e8,Ignore*,Ignore*,Image,Geometry,736.9,3438.4,0,0,0,0,NA,0,4974333,19990.5
29,Td39_30D_MCAO_Str.tif,c6576b70-65e5-4968-b5a5-13f3e7978cef,Positive,Positive,Image,Geometry,2452.5,2655.7,8141966.5,2152,523,1629,75.7,200.07,8141966.6,17084.9
30,Td39_30D_MCAO_Str.tif,25e48a58-ad4e-443f-8f08-e9f70edc6516,Ignore*,Ignore*,Image,Geometry,1197.8,3397,0,2,2,0,0,0,12815745.9,27777.6
31,Td40_30D_MCAO_Str.tif,83a5a079-4bfd-4ef0-9bc5-01fb3f4052d4,Ignore*,Ignore*,Image,Geometry,1173.5,3069.4,0,8,4,4,50,0.3028,13210855.8,27080.2
32,Td40_30D_MCAO_Str.tif,d5f9276b-612c-4735-a7c4-3668a1670b34,Positive,Positive,Image,Polygon,2558,3176.5,7746856.5,2498,457,2041,81.71,263.46,7746856.7,17782.3
33,Td43_30D_MCAO_Str.tif,32a20106-46d5-4290-9259-c37aa750cc9e,Positive,Positive,Image,Geometry,996.89,2850.5,7216666.5,3123,279,2844,91.07,394.09,7216666.4,17898.5
34,Td43_30D_MCAO_Str.tif,a2f7b21e-bae1-44de-a2ed-c7b6d51a6142,Ignore*,Ignore*,Image,Geometry,622.31,3623.9,0,3,1,2,66.67,0.5519,3623529.7,21733.9
35,Td45_30D_MCAO_Str.tif,fc99b5a6-2834-43ad-a6f2-9f20ef38ce40,Ignore*,Ignore*,Image,Polygon,887.01,2585.2,0,1,1,0,0,0,8648517.8,21850.1
36,Td45_30D_MCAO_Str.tif,26effa34-d61d-4c1d-9e3b-ec4e2076d06e,Positive,Positive,Image,Polygon,2278.8,2824,8310817,1421,601,820,57.71,98.67,8310817,14992.9
37,Td46_30D_MCAO_Str.tif,90073939-e1ac-40cf-a7ba-af5d698afc21,Positive,Positive,Image,Geometry,2464.6,2914.1,8368226,2250,357,1893,84.13,226.21,8368226.2,17666.1
38,Td46_30D_MCAO_Str.tif,f90886d6-e601-4df4-b71e-6447cefc41a2,Ignore*,Ignore*,Image,Geometry,1167.2,3238.6,0,4,2,2,50,0.1589,12589486.3,27312.7
39,Td48_30D_MCAO_Str.tif,3fbe11fa-83a5-40b7-a1af-f7dcf2d298c2,Positive,Positive,Image,Geometry,2482.9,2962.5,7277452.5,2626,343,2283,86.94,313.71,7277452.5,16620
40,Td48_30D_MCAO_Str.tif,1822e853-e311-4e0f-8760-f4bc9f3bc5bc,Ignore*,Ignore*,Image,Geometry,1260.9,3186.9,0,4,1,3,75,0.2193,13680260,27777.6
41,Td49_30D_MCAO_Str.tif,49658425-8eb2-46d8-bdb0-21583890aa8d,Ignore*,Ignore*,Image,Geometry,612.26,2726.9,0,1,0,1,100,0.2419,4133458,20920.3
42,Td49_30D_MCAO_Str.tif,870dcca0-84f0-4007-a25b-cad96155c324,Positive,Positive,Image,Geometry,1031.6,3344.5,6706738,3531,308,3223,91.28,480.56,6706738.2,16271.4
43,Td50_30D_MCAO_Str.tif,0e5a3d5d-26de-41b3-bcca-e77cfb23e934,Ignore*,Ignore*,Image,Polygon,1081.6,3050.5,0,0,0,0,NA,0,11620285,24407.1
44,Td50_30D_MCAO_Str.tif,e5df5e2d-763c-4235-8b67-78eb71645593,Positive,Positive,Image,Polygon,2362.9,3187.9,8614748,1903,322,1581,83.08,183.52,8614747.8,16620
45,Td52_30D_MCAO_Str.tif,665d9905-2b62-497e-b434-fa0de850a601,Ignore*,Ignore*,Image,Polygon,994.26,2901.9,0,0,0,0,NA,0,10502495.3,23128.6
46,Td52_30D_MCAO_Str.tif,6e6b0698-53db-413e-9f2b-c5bcd5c53c16,Positive,Positive,Image,Polygon,2274.8,3341.1,9371198,2417,448,1969,81.46,210.11,9371197.6,15109.1
47,Td53_14D_MCAO_Str.tif,0947764b-b3b5-414c-9b47-06b79d883fd6,Positive,Positive,Image,Geometry,2437.1,3036.5,9668374,4458,468,3990,89.5,412.69,9668374.3,18247.2
48,Td53_14D_MCAO_Str.tif,499b73bf-4e83-4e5f-aed3-bc1df10d3a3c,Ignore*,Ignore*,Image,Geometry,1041.3,3171.1,0,3,0,3,100,0.2657,11289338.2,26266.6
49,Td55_14D_MCAO_Str.tif,213f1250-9284-43b3-97d8-fa5b4f563a82,Ignore*,Ignore*,Image,Geometry,955.41,3091.1,0,1,0,1,100,0.0965,10367415,25453.1
50,Td55_14D_MCAO_Str.tif,cbd7398c-d355-4550-bb59-40a0df9afbe1,Positive,Positive,Image,Geometry,2332.9,3127.8,9867618,2841,567,2274,80.04,230.45,9867617.8,17666.1
51,Td56_14D_MCAO_Str.tif,5164bfef-3621-4351-a3c1-4953a703de41,Positive,Positive,Image,Geometry,2349,3075.5,8648518,3626,289,3337,92.03,385.85,8648517.8,17433.6
52,Td56_14D_MCAO_Str.tif,7ba07b4c-7e14-4759-8fbd-0da23ec4a867,Ignore*,Ignore*,Image,Geometry,1019.5,3134.8,0,1,1,0,0,0,11225175,24755.7
53,Td57_14D_MCAO_Str.tif,e4ed182c-9c0b-46ec-af36-8eb7c25f56b5,Ignore*,Ignore*,Image,Geometry,1093.2,2870.3,0,3,1,2,66.67,0.1664,12022149,24290.8
54,Td57_14D_MCAO_Str.tif,e26165fc-be87-4580-8b36-b2ef7001e0f2,Positive,Positive,Image,Geometry,2371.2,3474.4,7851544,3594,344,3250,90.43,413.93,7851543.9,15457.8
55,Td58_14D_MCAO_Str.tif,95093aa8-05be-4df6-be62-3a330fdddacb,Positive,Positive,Image,Geometry,2096.9,3108.1,10667969,2271,695,1576,69.4,147.73,10667968.7,17666.1
56,Td58_14D_MCAO_Str.tif,0030eafe-d94a-45e0-bfe5-7b6827770a37,Ignore*,Ignore*,Image,Geometry,932.35,3110.1,0,1,0,1,100,0.1131,8844384.3,24988.2
57,Td59_7D_MCAO_Str.tif,1554b04d-dd94-4562-8e31-cc2336f67b7d,Ignore*,Ignore*,Image,Geometry,1078.2,3570.7,0,2,1,1,50,0.0896,11161011.9,29520.9
58,Td59_7D_MCAO_Str.tif,cfbbed40-b2f0-45bb-9788-f4108f2a600b,Positive,Positive,Image,Geometry,2051.4,3903.1,12798861,4227,504,3723,88.08,290.89,12798860.8,20571.7
59,Td60_7D_MCAO_Str.tif,81e1f54b-a126-4f39-98a6-e6c828a59f24,Ignore*,Ignore*,Image,Geometry,860.88,2807.4,0,0,0,0,NA,0,6136023.8,25220.6
60,Td60_7D_MCAO_Str.tif,b77bafd7-d907-4ccc-986a-d326377fc315,Positive,Positive,Image,Polygon,1927.4,3243.7,13737669,3862,646,3216,83.27,234.1,13737669.1,18479.6
61,Td61_7D_MCAO_Str.tif,4f557878-1b70-42f0-956f-3fdf4e7b2edd,Ignore*,Ignore*,Image,Geometry,832.92,2880.1,0,9,2,7,77.78,1.232,5680127.7,34751
62,Td61_7D_MCAO_Str.tif,963e34a2-663b-4782-a951-6afd822b2ec8,Positive,Positive,Image,Geometry,1838.1,3205.5,13470885,2741,344,2397,87.45,177.94,13470885.5,27661.3
63,Td62_7D_MCAO_Str.tif,8c758292-a879-43d8-951f-f094a64b1785,Ignore*,Ignore*,Image,Geometry,771.92,2950.6,0,3,1,2,66.67,0.3359,5953665.3,31496.7
64,Td62_7D_MCAO_Str.tif,6fee60aa-427d-440d-b2cd-7fcebc33c7ca,Positive,Positive,Image,Geometry,1983.7,3175,14281367,2356,560,1796,76.23,125.76,14281367.4,27196.4
65,Td63_7D_MCAO_Str.tif,c49ad1f8-31c3-4a0d-b486-83013363b3bd,Ignore*,Ignore*,Image,Geometry,889.8,2434.7,0,16,3,13,81.25,2.655,4896661.8,40213.5
66,Td63_7D_MCAO_Str.tif,97f04845-2a34-40fa-87ee-8e0cb9f19cf4,Positive,Positive,Image,Geometry,1927.8,3314.6,16061051,3808,607,3201,84.06,199.3,16061050.7,35564.6
67,Td64_7D_MCAO_Str.tif,003233f1-3140-4b65-88f2-8ccabd259c38,Ignore*,Ignore*,Image,Geometry,748.14,2797.7,0,6,0,6,100,1.04,5767929.9,24523.3
68,Td64_7D_MCAO_Str.tif,c3d6d6b0-5db6-49df-8c3d-68f889741e5d,Positive,Positive,Image,Polygon,1913.5,3239.6,13744423,2267,422,1845,81.39,134.24,13744423.1,19177
69,Td65_14D_SHAM_Str.tif,b2b3f103-8368-42e6-bc76-207776b3d850,Ignore*,Ignore*,Image,Geometry,1007.8,2500.9,0,8,2,6,75,1.178,5092528.3,26266.6
70,Td65_14D_SHAM_Str.tif,862d9523-36d7-497c-9b24-a85a74912f5d,Positive,Positive,Image,Geometry,1801.5,3318.5,14781165,1782,1100,682,38.27,46.14,14781164.6,22663.7
71,Td66_7D_SHAM_Str.tif,933f8a99-220b-4c9c-894e-f9d806c6d2a6,Positive,Positive,Image,Geometry,2027.5,3040.9,15004047,1620,1158,462,28.52,30.79,15004047.2,31031.8
72,Td66_7D_SHAM_Str.tif,b9aa2a29-b8e3-4d4f-9223-4ebebe7795b9,Ignore*,Ignore*,Image,Geometry,822.68,3280.6,0,7,4,3,42.86,0.5039,5953665.3,38005.3
73,Td67_7D_SHAM_Str.tif,af1c3faf-3845-4f06-abbd-a6d9287e9962,Ignore*,Ignore*,Image,Geometry,820.82,2882.4,0,16,10,6,37.5,1.186,5058758.2,38818.8
74,Td67_7D_SHAM_Str.tif,8cb4dbf6-0aa0-4dde-894a-4759362ca4cc,Positive,Positive,Image,Geometry,1863.5,3186.4,14814935,1589,1051,538,33.86,36.31,14814934.7,33356.3
75,Td68_7D_SHAM_Str.tif,869955dc-9f49-41d0-8114-4feafe0825cb,Positive,Positive,Image,Geometry,2019.5,3056.2,14578544,1837,1272,565,30.76,38.76,14578544.1,24639.5
76,Td68_7D_SHAM_Str.tif,bb91c689-3ddf-4904-8b32-bb4f6f4cc3aa,Ignore*,Ignore*,Image,Geometry,921.26,3229.7,0,9,5,4,44.44,0.627,6379168.4,32310.3
77,Td69_14D_SHAM_Str.tif,5e26af49-8ba1-4138-ab7b-96e377d0ada6,Ignore*,Ignore*,Image,Geometry,783.4,2918.7,0,5,2,3,60,0.5129,5848978.1,31961.6
78,Td69_14D_SHAM_Str.tif,62209c15-2d9a-47eb-ab59-405a4c77abe8,Positive,Positive,Image,Geometry,2034.4,3182.7,15108734,1905,1164,741,38.9,49.04,15108734.4,26499.1
79,Td71_3D_MCAO_Str.tif,3f2776e0-4508-454f-b240-f37dfb29dfd8,Positive,Positive,Image,Geometry,1761.6,2944.1,15213422,979,320,659,67.31,43.32,15213421.7,22663.7
80,Td71_3D_MCAO_Str.tif,c9851669-33c9-4f21-8355-e891df241631,Ignore*,Ignore*,Image,Geometry,1482.9,3545.7,0,1,0,1,100,0.1741,5744290.8,30799.4
81,Td72_3D_MCAO_Str.tif,276b3074-a576-4d71-bca3-6ef15f9dead4,Positive,Positive,Image,Geometry,2055.7,2668.7,10472102,186,63,123,66.13,11.75,10472102.2,36494.4
82,Td72_3D_MCAO_Str.tif,6c0a3327-3b9b-44bf-8dac-9cb3ccb30dd4,Ignore*,Ignore*,Image,Geometry,1315.2,3548.7,0,2,0,2,100,0.1907,10485610.3,44862.5
83,Td73_3D_MCAO_Str.tif,6526aa32-1b6a-4cef-8d1e-7b9a306911ef,Positive,Positive,Image,Geometry,1861,3108.7,16368358,692,297,395,57.08,24.13,16368358.4,31031.8
84,Td73_3D_MCAO_Str.tif,b4cbc207-cfbe-44a8-97ce-b6daa415084a,Ignore*,Ignore*,Image,Geometry,1058.6,3110,0,3,2,1,33.33,0.2179,4589354.1,38586.4
85,Td75_3D_MCAO_Str.tif,4c270285-3eae-47d8-abb6-789f3f8ddd50,Ignore*,Ignore*,Image,Geometry,1059.2,3053.9,0,2,2,0,0,0,11100225.7,44048.9
86,Td75_3D_MCAO_Str.tif,77b7aa8d-e4e7-49a8-a38c-410b517cfce4,Positive,Positive,Image,Geometry,3298.8,3139.6,19975004,281,192,89,31.67,4.456,19975003.1,36494.4
87,Td76_3D_MCAO_Str.tif,b03ae0b5-9470-46c4-91c2-a984dd2ac0c6,Ignore*,Ignore*,Image,Geometry,879.98,2887.9,0,1,0,1,100,0.1615,6193432.9,38470.2
88,Td76_3D_MCAO_Str.tif,ec8f4e67-4d13-44d7-b982-df6d09924001,Positive,Positive,Image,Geometry,2249.9,3188.2,17293658,900,304,596,66.22,34.46,17293658.7,32659
89,Td77_3D_MCAO_Str.tif,299f825b-0915-402f-ae08-4e98db8d61fc,Ignore*,Ignore*,Image,Geometry,1401.4,3063.2,0,15,8,7,46.67,0.6169,11346747.3,104717.9
90,Td77_3D_MCAO_Str.tif,3e9bfc90-e94a-4730-960d-8b3914979c8e,Positive,Positive,Image,Geometry,2991.6,3137.4,18283122,705,219,486,68.94,26.58,18283122.1,100068.9
91,Td78_3D_MCAO_Str.tif,a654e014-af75-44a0-ba66-8920f887fc6b,Ignore*,Ignore*,Image,Geometry,1247,3069.1,0,2,1,1,50,0.0918,10887474.2,45676.1
92,Td78_3D_MCAO_Str.tif,9921a36f-b94c-4d9d-9eba-7789007e09ac,Positive,Positive,Image,Geometry,3173.9,3130.5,20187754,1511,537,974,64.46,48.25,20187754.6,31380.5
93,Td79_3D_MCAO_Str.tif,d3e1b520-eae8-449a-b54f-f9e9c0bccef5,Ignore*,Ignore*,Image,Geometry,999.08,3357.6,0,1,NA,1,100,0.1534,6521002.7,57647.1
94,Td79_3D_MCAO_Str.tif,a5955865-6988-4711-b00e-3d73c0164185,Positive,Positive,Image,Geometry,1822.1,3894.3,17438870,398,NA,398,100,22.82,17438870,51952.2
95,Td80_7D_SHAM_Str.tif,76fad475-2503-4bfb-a52d-cd4068c8bb7b,Positive,Positive,Image,Geometry,1855.9,2969.2,14592052,1219,778,441,36.18,30.22,14592052.2,25453.1
96,Td80_7D_SHAM_Str.tif,832fb2ae-9940-4595-a561-8f41316d8239,Ignore*,Ignore*,Image,Geometry,885.87,3495.2,0,2,2,0,0,0,5281640.7,29520.9
97,Td81_7D_SHAM_Str.tif,55aa15e5-414a-4e03-bd69-8dcb6f28e7cf,Ignore*,Ignore*,Image,Geometry,927.34,3004.4,0,6,3,3,50,0.4681,6409561.4,31961.6
98,Td81_7D_SHAM_Str.tif,109371b5-54b6-4e4e-b79e-65931b786073,Positive,Positive,Image,Geometry,1882.9,3160.2,13102792,642,483,159,24.77,12.13,13102791.6,24755.7
